emp_id,Employee_Name,Employee_Email,SALARY BASIC,SALARY_HRA,SALARY_DA,TOTAL_SALARY,Present Days,Paid Leaves,Weekly Off,Unpaid Leaves,Festivals,Total Paid Days,GROSS BASIC,GROSS HRA,GROSS DA,CONVENCE ALLOWNCES,SPECIAL ALLOWNCES,Project Incentive,Variable Pay,GROSS TOTAL,ESI,PF,Salary Advance,Negative Leave,TDS,Total Deductions,NET SALARY,Month
1,Gaurav Singh Bhandari,gauravsinghbhandari7@gmail.com,0.0,0.0,0.0,0.0,27,0,4,0,0,27,0.0,0.0,0.0,1600.0,-1600.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,July 2025
2,Kapil,kapil@gmail.com,0.0,0.0,0.0,0.0,27,0,4,0,0,27,0.0,0.0,0.0,1600.0,-1600.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,July 2025
3,Sam,sam@gmail.com,0.0,0.0,0.0,0.0,27,0,4,0,0,27,0.0,0.0,0.0,1600.0,-1600.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,July 2025
4,Ram,ram@gmail.com,0.0,0.0,0.0,0.0,27,0,4,0,0,27,0.0,0.0,0.0,1600.0,-1600.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,July 2025
5,Priyanka,priyanka@gmail.com,0.0,0.0,0.0,0.0,27,0,4,0,0,27,0.0,0.0,0.0,1600.0,-1600.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,July 2025
6,Radha,radha@gmail.com,0.0,0.0,0.0,0.0,27,0,4,0,0,27,0.0,0.0,0.0,1600.0,-1600.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,July 2025
7,Soniya,soniya@gmail.com,0.0,0.0,0.0,0.0,27,0,4,0,0,27,0.0,0.0,0.0,1600.0,-1600.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,July 2025
8,Sachin,sachin@gmail.com,0.0,0.0,0.0,0.0,27,0,4,0,0,27,0.0,0.0,0.0,1600.0,-1600.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,July 2025
9,Gaurav Singh Bhandari,gsb@gmail.com,0.0,0.0,0.0,0.0,27,0,4,0,0,27,0.0,0.0,0.0,1600.0,-1600.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,July 2025
10,Gaurav Singh Bhandari,gauravsinghbhandari7192@gmail.com,0.0,0.0,0.0,0.0,27,0,4,0,0,27,0.0,0.0,0.0,1600.0,-1600.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,July 2025
11,ramarujuna,rama@gmail.com,0.0,0.0,0.0,0.0,27,0,4,0,0,27,0.0,0.0,0.0,1600.0,-1600.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,July 2025
12,rajdeep,rajdeep@gmail.com,11000.0,5500.0,2750.0,19250.0,27,0,4,0,0,27,9580.65,4790.32,2395.16,1600.0,6650.0,0,0,23951.61,179.64,2874.19,0,0,1197.58,4251.41,19700.2,July 2025
13,Geetika,geetika@mail.com,0.0,0.0,0.0,0.0,27,0,4,0,0,27,0.0,0.0,0.0,1600.0,-1600.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,July 2025
15,ram sharma,ramsharma@gmail.com,11666.67,5833.33,2916.67,20416.67,27,0,4,0,0,27,10161.29,5080.64,2540.33,1600.0,7150.0,0,0,25403.23,190.52,3048.39,0,0,1270.16,4509.07,20894.16,July 2025
