emp_id,Employee_Name,Employee_Email,SALARY BASIC,SALARY_HRA,SALARY_DA,TOTAL_SALARY,Present Days,Paid Leaves,Weekly Off,Unpaid Leaves,Festivals,Total Paid Days,GROSS BASIC,GROSS HRA,GROSS DA,CONVENCE ALLOWNCES,SPECIAL ALLOWNCES,Project Incentive,Variable Pay,GROSS TOTAL,ESI,PF,Salary Advance,Negative Leave,TDS,Total Deductions,NET SALARY,Month
1,Gaurav Singh Bhandari,gauravsinghbhandari7@gmail.com,1817.01,654.12,363.4,2834.53,27,0,4,0,0,27,1582.56,569.72,316.51,1133.81,1700.72,0,0,4937.57,37.03,592.51,0,0,246.88,876.42,4061.15,July 2025
2,Kapil,kapil@gmail.com,1668.45,600.64,333.69,2602.78,27,0,4,0,0,27,1453.17,523.14,290.63,1041.11,1561.67,0,0,4533.87,34.0,544.06,0,0,226.69,804.75,3729.12,July 2025
3,Sam,sam@gmail.com,1641.2,590.83,328.24,2560.27,27,0,4,0,0,27,1429.43,514.59,285.89,1024.11,1536.16,0,0,4459.83,33.45,535.18,0,0,222.99,791.62,3668.21,July 2025
4,Ram,ram@gmail.com,1325.65,477.23,265.13,2068.01,27,0,4,0,0,27,1154.6,415.65,230.92,827.2,1240.81,0,0,3602.34,27.02,432.28,0,0,180.12,639.42,2962.92,July 2025
5,Priyanka,priyanka@gmail.com,1704.66,613.68,340.93,2659.27,27,0,4,0,0,27,1484.7,534.5,296.94,1063.71,1595.56,0,0,4632.28,34.74,555.87,0,0,231.61,822.22,3810.06,July 2025
6,Radha,radha@gmail.com,1421.34,511.68,284.27,2217.29,27,0,4,0,0,27,1237.94,445.66,247.59,886.92,1330.37,0,0,3862.38,28.97,463.49,0,0,193.12,685.58,3176.8,July 2025
7,Soniya,soniya@gmail.com,1367.73,492.38,273.55,2133.66,27,0,4,0,0,27,1191.25,428.85,238.25,853.46,1280.2,0,0,3716.7,27.88,446.0,0,0,185.84,659.72,3056.98,July 2025
8,Sachin,sachin@gmail.com,1324.62,476.86,264.92,2066.4,27,0,4,0,0,27,1153.7,415.33,230.74,826.56,1239.84,0,0,3599.54,27.0,431.94,0,0,179.98,638.92,2960.62,July 2025
9,Gaurav Singh Bhandari,gsb@gmail.com,1269.92,457.17,253.98,1981.07,27,0,4,0,0,27,1106.06,398.18,221.21,792.43,1188.64,0,0,3450.9,25.88,414.11,0,0,172.55,612.54,2838.36,July 2025
10,Gaurav Singh Bhandari,gauravsinghbhandari7192@gmail.com,1750.74,630.27,350.15,2731.16,27,0,4,0,0,27,1524.84,548.94,304.97,1092.46,1638.7,0,0,4757.5,35.68,570.9,0,0,237.88,844.46,3913.04,July 2025
11,ramarujuna,rama@gmail.com,1818.94,654.82,363.79,2837.55,27,0,4,0,0,27,1584.24,570.33,316.85,1135.02,1702.53,0,0,4942.83,37.07,593.14,0,0,247.14,877.35,4065.48,July 2025
12,rajdeep,rajdeep@gmail.com,13750.0,4950.0,2750.0,21450.0,27,0,4,0,0,27,11975.81,4311.29,2395.16,8580.0,12870.0,0,0,37364.52,280.23,4483.74,0,0,1868.23,6632.2,30732.32,July 2025
13,Geetika,geetika@mail.com,1342.49,483.3,268.5,2094.29,27,0,4,0,0,27,1169.27,420.94,233.85,837.72,1256.57,0,0,3648.12,27.36,437.77,0,0,182.41,647.54,3000.58,July 2025
15,ram sharma,ramsharma@gmail.com,14583.33,5250.0,2916.67,22750.0,27,0,4,0,0,27,12701.61,4572.58,2540.33,9100.0,13650.0,0,0,39629.03,297.22,4755.48,0,0,1981.45,7034.15,32594.88,July 2025
16,Pooja,Pooja@gmail.com,14583.33,5250.0,2916.67,22750.0,27,0,4,0,0,27,12701.61,4572.58,2540.33,9100.0,13650.0,0,0,39629.03,297.22,4755.48,0,0,1981.45,7034.15,32594.88,July 2025
17,gudiya sen,gudiyasen@gmail.com,14583.33,5250.0,2916.67,22750.0,27,0,4,0,0,27,12701.61,4572.58,2540.33,9100.0,13650.0,0,0,39629.03,297.22,4755.48,0,0,1981.45,7034.15,32594.88,July 2025
18,himanshi sen,himanshi@gmail.com,14583.33,5250.0,2916.67,22750.0,27,0,4,0,0,27,12701.61,4572.58,2540.33,9100.0,13650.0,0,0,39629.03,297.22,4755.48,0,0,1981.45,7034.15,32594.88,July 2025
19,himanshi sen,himanshi1@gmail.com,14583.33,5250.0,2916.67,22750.0,27,0,4,0,0,27,12701.61,4572.58,2540.33,9100.0,13650.0,0,0,39629.03,297.22,4755.48,0,0,1981.45,7034.15,32594.88,July 2025
20,himanshi sen,himanshi2@gmail.com,14583.33,5250.0,2916.67,22750.0,27,0,4,0,0,27,12701.61,4572.58,2540.33,9100.0,13650.0,0,0,39629.03,297.22,4755.48,0,0,1981.45,7034.15,32594.88,July 2025
21,himanshi sen,himanshi3@gmail.com,14583.33,5250.0,2916.67,22750.0,27,0,4,0,0,27,12701.61,4572.58,2540.33,9100.0,13650.0,0,0,39629.03,297.22,4755.48,0,0,1981.45,7034.15,32594.88,July 2025
22,himanshi sen,himanshi4@gmail.com,14583.33,5250.0,2916.67,22750.0,27,0,4,0,0,27,12701.61,4572.58,2540.33,9100.0,13650.0,0,0,39629.03,297.22,4755.48,0,0,1981.45,7034.15,32594.88,July 2025
23,divya,divya@gmail.com,14583.33,5250.0,2916.67,22750.0,27,0,4,0,0,27,12701.61,4572.58,2540.33,9100.0,13650.0,0,0,39629.03,297.22,4755.48,0,0,1981.45,7034.15,32594.88,July 2025
24,divya,divya1@gmail.com,14583.33,5250.0,2916.67,22750.0,27,0,4,0,0,27,12701.61,4572.58,2540.33,9100.0,13650.0,0,0,39629.03,297.22,4755.48,0,0,1981.45,7034.15,32594.88,July 2025
