emp_id,Employee_Name,Employee_Email,SALARY BASIC,SALARY_HRA,SALARY_DA,TOTAL_SALARY,Present Days,Paid Leaves,Weekly Off,Unpaid Leaves,Festivals,Total Paid Days,GROSS BASIC,GROSS HRA,GROSS DA,CONVENCE ALLOWNCES,SPECIAL ALLOWNCES,Project Incentive,Variable Pay,GROSS TOTAL,ESI,PF,Salary Advance,Negative Leave,TDS,Total Deductions,NET SALARY,Month
1,Gaurav Singh Bhandari,gauravsinghbhandari7@gmail.com,0.0,0.0,0.0,0.0,27,0,4,0,0,27,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,July 2025
2,Kapil,kapil@gmail.com,0.0,0.0,0.0,0.0,27,0,4,0,0,27,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,July 2025
3,Sam,sam@gmail.com,0.0,0.0,0.0,0.0,27,0,4,0,0,27,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,July 2025
4,Ram,ram@gmail.com,0.0,0.0,0.0,0.0,27,0,4,0,0,27,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,July 2025
5,Priyanka,priyanka@gmail.com,0.0,0.0,0.0,0.0,27,0,4,0,0,27,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,July 2025
6,Radha,radha@gmail.com,0.0,0.0,0.0,0.0,27,0,4,0,0,27,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,July 2025
7,Soniya,soniya@gmail.com,0.0,0.0,0.0,0.0,27,0,4,0,0,27,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,July 2025
8,Sachin,sachin@gmail.com,0.0,0.0,0.0,0.0,27,0,4,0,0,27,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,July 2025
9,Gaurav Singh Bhandari,gsb@gmail.com,0.0,0.0,0.0,0.0,27,0,4,0,0,27,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,July 2025
10,Gaurav Singh Bhandari,gauravsinghbhandari7192@gmail.com,0.0,0.0,0.0,0.0,27,0,4,0,0,27,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,July 2025
11,ramarujuna,rama@gmail.com,0.0,0.0,0.0,0.0,27,0,4,0,0,27,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,July 2025
12,rajdeep,rajdeep@gmail.com,13750.0,4950.0,2750.0,21450.0,27,0,4,0,0,27,11975.81,4311.29,2395.16,8580.0,12870.0,0,0,37364.52,280.23,4483.74,0,0,1868.23,6632.2,30732.32,July 2025
13,Geetika,geetika@mail.com,0.0,0.0,0.0,0.0,27,0,4,0,0,27,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,July 2025
15,ram sharma,ramsharma@gmail.com,14583.33,5250.0,2916.67,22750.0,27,0,4,0,0,27,12701.61,4572.58,2540.33,9100.0,13650.0,0,0,39629.03,297.22,4755.48,0,0,1981.45,7034.15,32594.88,July 2025
16,Pooja,Pooja@gmail.com,14583.33,5250.0,2916.67,22750.0,27,0,4,0,0,27,12701.61,4572.58,2540.33,9100.0,13650.0,0,0,39629.03,297.22,4755.48,0,0,1981.45,7034.15,32594.88,July 2025
17,gudiya sen,gudiyasen@gmail.com,14583.33,5250.0,2916.67,22750.0,27,0,4,0,0,27,12701.61,4572.58,2540.33,9100.0,13650.0,0,0,39629.03,297.22,4755.48,0,0,1981.45,7034.15,32594.88,July 2025
18,himanshi sen,himanshi@gmail.com,14583.33,5250.0,2916.67,22750.0,27,0,4,0,0,27,12701.61,4572.58,2540.33,9100.0,13650.0,0,0,39629.03,297.22,4755.48,0,0,1981.45,7034.15,32594.88,July 2025
19,himanshi sen,himanshi1@gmail.com,14583.33,5250.0,2916.67,22750.0,27,0,4,0,0,27,12701.61,4572.58,2540.33,9100.0,13650.0,0,0,39629.03,297.22,4755.48,0,0,1981.45,7034.15,32594.88,July 2025
