emp_id,Employee_Name,Employee_Email,SALARY BASIC,SALARY_HRA,SALARY_DA,TOTAL_SALARY,Present Days,Paid Leaves,Weekly Off,Unpaid Leaves,Festivals,Total Paid Days,GROSS BASIC,GROSS HRA,GROSS DA,CONVENCE ALLOWNCES,SPECIAL ALLOWNCES,Project Incentive,Variable Pay,GROSS TOTAL,ESI,PF,Salary Advance,Negative Leave,TDS,Total Deductions,NET SALARY,Month
1,Gaurav Singh Bhandari,gauravsinghbhandari7@gmail.com,0.0,0.0,0.0,0.0,26,0,4,0,1,27,0.0,0.0,0.0,1600.0,-1600.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,June 2025
2,Kapil,kapil@gmail.com,0.0,0.0,0.0,0.0,26,0,4,0,1,27,0.0,0.0,0.0,1600.0,-1600.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,June 2025
3,Sam,sam@gmail.com,0.0,0.0,0.0,0.0,26,0,4,0,1,27,0.0,0.0,0.0,1600.0,-1600.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,June 2025
4,Ram,ram@gmail.com,0.0,0.0,0.0,0.0,26,0,4,0,1,27,0.0,0.0,0.0,1600.0,-1600.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,June 2025
5,Priyanka,priyanka@gmail.com,0.0,0.0,0.0,0.0,26,0,4,0,1,27,0.0,0.0,0.0,1600.0,-1600.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,June 2025
6,Radha,radha@gmail.com,0.0,0.0,0.0,0.0,26,0,4,0,1,27,0.0,0.0,0.0,1600.0,-1600.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,June 2025
7,Soniya,soniya@gmail.com,0.0,0.0,0.0,0.0,26,0,4,0,1,27,0.0,0.0,0.0,1600.0,-1600.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,June 2025
8,Sachin,sachin@gmail.com,0.0,0.0,0.0,0.0,26,0,4,0,1,27,0.0,0.0,0.0,1600.0,-1600.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,June 2025
9,Gaurav Singh Bhandari,gsb@gmail.com,0.0,0.0,0.0,0.0,26,0,4,0,1,27,0.0,0.0,0.0,1600.0,-1600.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,June 2025
10,Gaurav Singh Bhandari,gauravsinghbhandari7192@gmail.com,0.0,0.0,0.0,0.0,26,0,4,0,1,27,0.0,0.0,0.0,1600.0,-1600.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,June 2025
